Title,Question,Answer,Equipment,Topic,Severity,Source,Date Reported,Repair Type,Tags
"Ball Mill 130 roller disc alarm - heater protection","The 130kg ball mill is showing a roller disc alarm. How do we clear it?","Set the roller disc to 70 degrees and the alarm will disappear. This is a protection for the heater - when the roller disc setting is too low, the alarm activates as a safety measure. Once adjusted to 70 degrees, the heater protection alarm clears immediately.",Ball Mill,Electrical,medium,"Packint Tech Support - Lorenzo Datei",2021-03-10,Troubleshooting,"roller disc, alarm, heater protection, 70 degrees, mill 130"
"Conche liquid sensor disconnect requires PLC modification","We no longer use the liquid sensor on the conche. How do we disconnect it without triggering alarms?","The liquid sensor cannot simply be disconnected - it requires a PLC program modification to avoid triggering an alarm. Juri will make the modification when he makes other scheduled PLC changes to the mill. The sensor disconnect and mill modifications will be done together to minimize downtime.",Conche,Software/PLC,medium,"Packint Tech Support - Juri",2021-03-11,Troubleshooting,"liquid sensor, disconnect, PLC modification, alarm bypass"
"Ball Mill 130 solenoid valve not working","The replacement solenoid valve was installed on the 130kg ball mill but it still doesn't work when the EV button is pressed. Water temperature is not dropping as expected.","Troubleshooting steps: 1) Set product temperature set point below the real temperature and check if water temperature drops. 2) Check voltage output to the valve at terminals 3 and 4 inside the power board (should read 24V). 3) If voltage is present, check the cable between the terminal block and the solenoid valve for continuity - disconnect both ends and test with a multimeter set to continuity mode. The issue was traced to the cable/relay, and a replacement relay KR5 was shipped from Italy (DHL tracking: 2447876572, delivered March 19).",Ball Mill,Electrical,high,"Packint Tech Support - Franklin / Juri",2021-03-11,Troubleshooting,"solenoid valve, EV button, relay KR5, multimeter, continuity test, 24V, cable check"
"Conche pump oil level check - life greased pumps","How do I check the oil level in the conche pump to ensure it has enough? Does it have a dipstick?","The pumps are life-greased - there is no dipstick on the pump gearbox. Under normal operation, no maintenance is needed. You should only check the grease level if one of the gearbox seals has leaked a lot of oil. In that case, you would need to replace the seals and check the grease in the gearbox. If there is no visible leaking from the gearbox, the pumps do not need any grease maintenance.",Conche,Preventive Maintenance,low,"Packint Tech Support - Juri",2021-03-13,Preventive Maintenance,"pump, oil level, grease, gearbox, life greased, dipstick, maintenance"
"Sifter flex pipe clamp falling off during operation","The flex pipe clamp connecting the sifter to the tank keeps falling off during sifting, even when tightened as much as possible.","There is an adjustable clamp that fixes the tube to the sifter. If the clamp is tightened fully and still falls off, it may be too loose for the connection. Send photos showing how it is currently fixed so the team can assess the fit. The vibration during sifting can work loose connections over time.",Sifter,Mechanical,medium,"Packint Tech Support - Juri",2021-03-17,Troubleshooting,"flex pipe, clamp, falling off, vibration, adjustable clamp"
"KR5 relay replacement - no special instructions","Are there any special instructions for installing the new KR5 relay that was shipped from Italy?","No special instructions needed - just place the cables in the same position as the original relay. Packint can accompany you via video call when you make the change, or coordinate the replacement with the final oil cleaning cycle.",Ball Mill,Electrical,medium,"Packint Tech Support - Franklin",2021-03-22,Repair,"KR5, relay replacement, cable position, installation"
"Ball Mill 130 transfer valve PLC safety controls","Will the signal cable from the valve to the PLC allow the 130 to automatically open/close valves to the conche?","The modification will open and close the transfer valve between mill and conche, preventing the two mills from trying to send product to the conche at the same time. However, you cannot control any part of the conche from the mill 130 - conche valves can only be activated from the conche control panel. The mill 130 cannot start the conche process after the last download. You can use the same cable used for relay tests if long enough, otherwise get a standard 2-wire cable locally (no need to ship from Italy). A tutorial PDF was provided for the signal cable installation.",Ball Mill,Software/PLC,medium,"Packint Tech Support - Franklin / Juri",2021-04-07,Installation,"transfer valve, PLC, safety, signal cable, automatic control, two mills, conche interlock"
"Ball mill processing times for pre-refine in 130kg mill","How long does it typically take to pre-refine in the 130kg mill? We're getting shorter times than expected.","Typical times: 45 minutes for cacao liquor only, then 60 minutes after adding sugar/milk powder. This yields approximately 18-20 microns. You might extend 15-20 minutes for finer results. Processing time can be faster depending on the bean's fat content and fluidity. The amount of product matters too - less mass means faster particle size reduction. An hour give or take is normal for the pre-refine stage.",Ball Mill,Mechanical,low,"Packint Tech Support - Alvaro",2021-04-15,Operation,"processing time, pre-refine, microns, 130kg, particle size, liquor, sugar"
"Cooling carousel not starting - microswitch and inverter check","The cooling carousel won't start. No visible issues with connections and nothing tripped inside the electrical cabinet.","Troubleshooting steps: 1) Check if the microswitch on the cooling carousel door is properly closed (check the red one specifically). 2) Open the electrical cabinet (must turn machine off first, then back on with door open). 3) Try starting the carousel and observe the inverter inside the cabinet - take a video. 4) Check machine parameters via the display. Issue was resolved via video call with Juri who diagnosed the problem through the inverter behavior.",Roaster,Electrical,high,"Packint Tech Support - Juri",2021-04-16,Troubleshooting,"cooling carousel, microswitch, inverter, electrical cabinet, won't start"
"Roaster recipe duplication when saving","Profiles/recipes are getting duplicated in the recipe window. Why is this happening?","When you open a recipe and press SAVE, the system creates a duplicate because it saves it as a new entry rather than overwriting. You cannot overwrite a recipe - if you edit one, you must change the name. Otherwise it creates a duplicate with the same name. To avoid duplicates, always change the recipe name when making modifications before saving.",Roaster,Software/PLC,low,"Packint Tech Support - Lorenzo Datei",2021-04-19,Operation,"recipe, duplication, save, overwrite, profile management"
"Conche stopped overnight - voltage dip alarm circuit","The conche was left running overnight but was found stopped in the morning. The display showed the program was on but nothing was actually running. No alarms were visible.","If there is a voltage dip (even momentary), the alarm board reads it as an alarm and turns off the 24V circuits, stopping everything. You must press the blue physical button on the machine to rearm the 24V power. The display may still show the program status even though the circuits are off. If this happens again, leave the machine as-is and notify Packint immediately so they can connect remotely to diagnose.",Conche,Electrical,high,"Packint Tech Support - Lorenzo Datei",2021-04-19,Troubleshooting,"voltage dip, alarm circuit, 24V, blue button, rearm, overnight stop, power interruption"
"Conche minimum water temperature setting for automatic mode","What should the MIN T water be set to when operating the conche in automatic mode?","When operating in automatic mode, set the MIN T water (on the left side of the display) to 40. This setting is not operative - it is purely a safety protection. If you leave it at 53 and a phase decreases the temperature to say 50, the safety protection kicks in and stops the machine. In automatic mode this value should always be set to 40. In manual mode, it serves as the actual minimum temperature control.",Conche,Software/PLC,medium,"Packint Tech Support - Lorenzo Datei",2021-04-19,Operation,"minimum temperature, water temp, auto mode, safety protection, MIN T, 40 degrees"
"Sifter screen rubber gasket reassembly","How does the rubber gasket go back on the sifter screen after cleaning? It seems too big and doesn't fit properly.","The rubber gasket goes around the mesh (screen), not the ring. It may seem large because it's designed to be easy to remove and replace. If it appears loose, push it evenly on all the circumference - bring it slightly more toward the edge of the stainless steel. If pushed completely down it will seem too loose. Make it even all around. If it keeps slipping off on one side, a replacement with tighter fit can be sent with the next spare parts delivery. A new mesh with two rubber gaskets (one pre-mounted, one replacement) was shipped, both sized smaller than the original.",Sifter,Mechanical,low,"Packint Tech Support - Lorenzo Datei / Martina",2021-04-21,Cleaning,"rubber gasket, mesh, screen, reassembly, fit, circumference, cleaning"
