Title,Question,Answer,Equipment,Topic,Severity,Source,Date Reported,Repair Type,Tags
"CO5000 Teflon blade shifted and scraping conche wall","The Teflon blade on the CO5000 conche has shifted about 1cm and is now scraping against the wall. It happened after unmelted drops entered the conche and caused violent shaking that bent the emulsifier shaft. What caused this and how do we fix it?","The violent shaking was caused by unmelted drops entering the conche, which bent the emulsifier shaft and shifted the Teflon/Derlin blade. The blade material is Teflon or Derlin. The CO5000 requires a minimum of 3000kg of chocolate to operate the emulsifier safely - running it with less product can cause similar issues. The emulsifier speed range is 25Hz minimum and 40-45Hz maximum. To fix: the emulsifier shaft needs to be straightened or replaced, and the blade repositioned. The safety door bypass (2 bridges in diagram) exists but is dangerous and not recommended.",Conche,Mechanical,critical,"Packint Tech Support - Giacomo, Alvaro",2024-01-15,Repair,"CO5000, Teflon blade, scraping, emulsifier shaft, bent, unmelted drops, shaking, Derlin, minimum 3000kg"
"Zinc anode sizing per machine type","What size zinc anodes do we need for each machine? They all look different sizes.","Zinc anodes come in three sizes: the longest ones are for the conches, the smallest ones are for the mill reservoir, and the medium-sized ones are for the mill tanks. Each mill tank requires 2 anodes. The anodes protect against corrosion in the water circuit and should be replaced when significantly corroded.",General - All Equipment,Mechanical,low,"Packint Tech Support - Giacomo",2024-02-05,Specification,"zinc anodes, sizing, conche, mill reservoir, mill tank, corrosion protection"
"Mobile pump preparation - flush first pass","How should we prepare the mobile pump before transferring product?","Always flush the first pass from the mobile pump into a bucket for cleaning purposes. This removes any residual material or contaminants from the pump before connecting it to the production line. This is standard practice for maintaining product quality.",General - All Equipment,Operation,low,"Packint Tech Support - Giacomo",2024-02-12,Operation,"mobile pump, flush, cleaning, first pass, bucket"
"Mill-50 water jacket leak from sight glass gaskets","Our Mill-50 is leaking water from the reservoir sight glass area. Also, how does the auto-refill function work?","The water leak is coming from the sight glass gaskets on the reservoir. Replace the gaskets to stop the leak. Regarding auto-refill: the system has an EV solenoid valve and a manual fill valve. The auto-refill function can be set to 999 minutes with a 16-hour cycle interval. When activated, the solenoid opens periodically to top off the water jacket automatically. Make sure the manual fill valve is also accessible for manual top-ups when needed.",Ball Mill,Mechanical,medium,"Packint Tech Support - Giacomo",2024-02-20,Repair,"Mill-50, water jacket, leak, sight glass, gaskets, auto-refill, EV solenoid, 999 minutes, 16 hour cycle"
"Mill-50 water temperature set too high","Our Mill-50 water temp is set to 52°C with product at 55°C. Is this correct?","The water temperature is set too high. The recommended setting is 40°C for water and 45°C for product temperature for standard chocolate processing. For white chocolate, use 40°C water and 45°C product. There should always be a 5-10°C difference between water and product temperature settings. Setting the water too high reduces the cooling effectiveness and can lead to overheating issues.",Ball Mill,Operation,medium,"Packint Tech Support - Giacomo",2024-03-01,Operation,"Mill-50, water temperature, 52°C, too high, recommended 40°C water, 45°C product, white chocolate"
"CO1000 emulsifier cooling fan not working","The cooling fan on the CO1000 emulsifier motor is not running. The emulsifier motor itself works but the fan doesn't spin.","The emulsifier cooling fan has its own separate breaker in the electrical panel. Check if that breaker has tripped - this is a common oversight as it's separate from the main emulsifier motor breaker. The fan should always run whenever the emulsifier motor is on. Reset the breaker and the fan should start working again.",Conche,Electrical,medium,"Packint Tech Support - Giacomo",2024-03-15,Troubleshooting,"CO1000, emulsifier, cooling fan, separate breaker, tripped"
"SOTU 600 new line - conche positioning with forklift","We're installing the new SOTU 600 line. How should we position the conches?","Use a forklift to position the conches in place. For the uprighting technique when conches arrive on their side: use a crane with a crossbar lift. The rotation point should be on the legs to prevent the conche from swinging during the lift. Once upright, position with forklift into final location.",Ball Mill/Conche,Mechanical,medium,"Packint Tech Support - Giacomo",2024-04-01,Installation,"SOTU 600, conche, positioning, forklift, crane, crossbar, uprighting, rotation point"
"SOTU 600 platform leveling and anti-vibration feet","How do we level the platform for the SOTU 600 line installation?","The platform has anti-vibration feet with 1/2-inch thread for leveling adjustments. Turn the threaded feet to level the platform precisely. Use a level to ensure the platform is even across all mounting points. The mills are identical so placement (left/right) doesn't matter.",Ball Mill/Conche,Mechanical,low,"Packint Tech Support - Giacomo",2024-04-01,Installation,"SOTU 600, platform, leveling, anti-vibration feet, 1/2 inch thread, mills identical"
"SOTU 600 load cells and mixer placement","Where are the load cells for the SOTU 600 mixer and how do we install them?","The load cells are in the accessories box that shipped with the equipment. Mount the load cells BEFORE placing the mixer on the platform - they go underneath the mixer feet. The discharge valve should be positioned on the right side. The electrical cabinet placement should allow access to all connections.",Ball Mill/Conche,Mechanical,medium,"Packint Tech Support - Giacomo",2024-04-02,Installation,"SOTU 600, load cells, accessories box, mixer, discharge valve, right side, electrical cabinet"
"SOTU 600 compressed air requirements","What are the compressed air requirements for the SOTU 600 line?","The air line should be 10mm connecting to the general cabinet on the right side. From there, the air distributes to all machines in the line. You can use a 1/4-inch thread fitting to connect to the main air supply. Ensure adequate pressure (minimum 7 bar / 100 PSI) at the gauge near the main electrical cabinet.",Ball Mill/Conche,Mechanical,low,"Packint Tech Support - Giacomo",2024-04-03,Installation,"SOTU 600, compressed air, 10mm, general cabinet, right side, 1/4 inch fitting, 7 bar, 100 PSI"
