Title,Question,Answer,Equipment,Topic,Severity,Source,Date Reported,Repair Type,Tags
"Electrical box height placement","How far off the ground should the electrical boxes be placed? What height does the power come out of the equipment?","Depends on local regulations (1.4m in Europe). The red pentagons on the machine layouts indicate electrical connection points. Wire exit heights from floor by machine: Roaster 700mm, Winnower 800mm, Pre-refiner 250mm, Mill 50 300mm, Conche 450mm, Sifter 400mm.",General - All Equipment,Electrical,medium,"Packint Tech Support - Juri",2019-09-05,Installation,"electrical, installation, wiring, height, placement"
"Equipment power cords - length and plugs","Do the machines come with cords attached? Do they have plugs? What is the length?","Machines come with cords attached but no plugs. The cord length is 3 meters.",General - All Equipment,Electrical,low,"Packint Tech Support - Juri",2019-09-06,Installation,"power cords, plugs, length, installation"
"Ball Mill and Conche water inlet/outlet heights","What is the height of the water inlet and outlets for both ball mill and the conche?","Refer to the cut sheets (mill 50.pdf and conca 250 2019.pdf) which contain the exact dimensions for water inlet and outlet positions.",Ball Mill / Conche,Hydraulic,low,"Packint Tech Support - Juri",2019-09-08,Installation,"water inlet, water outlet, plumbing, height"
"Ball Mill water consumption rate","Is the 150 L/h water flow a constant rate or divided over the course of an hour? What is the actual volume/rate?","The overall water consumption is 1/3 of 150 L/h (around 40 gal/h). However, when the water inlet is actively required (1/3 of the time), the flowrate must be 150 L/h.",Ball Mill,Hydraulic,medium,"Packint Tech Support - Juri",2019-09-08,Installation,"water flow, consumption rate, plumbing"
"Roaster uncrating and placement","Is there anything to know ahead of time when taking the roaster out of the crate? Do both the cooling carousel and roaster have wheels?","Both units (roaster and cooling carousel) have locking caster wheels similar to the conche. Use a forklift to take them off the crates, then they roll easily into position on the ground.",Roaster,Mechanical,low,"Packint Tech Support - Lorenzo Datei",2019-09-11,Installation,"uncrating, placement, forklift, casters, wheels"
"Roaster vent pipe sizes - US sourcing","The roaster vent measurements are 150mm and 80mm which don't translate to standard US pipe sizes (5.9 inches and 3.15 inches). Where can these be sourced in the US?","Alvaro provided the pipe specs used for his NY installation and a supplier document (1487_001.pdf). Contact the local plumber's supplier referenced in the document.",Roaster,Mechanical,medium,"Packint Tech Support - Alvaro",2019-09-13,Installation,"vent pipe, exhaust, sizing, sourcing"
"Gas regulator pressure for roaster","The water column should be 8.03-9.65 but that doesn't seem to correlate to 20-30 mbars. What is the correct gas pressure?","Natural gas pressure required: Minimum 20 millibar, Maximum 24 millibar. Conversion to water column: Min 8.03729, Max 9.64475. The 20-24 millibar range is determined by the burner. Note: the 30 mbar figure on the valve data sheet is the valve's maximum rating, not the operating pressure.",Roaster,Mechanical,high,"Packint Tech Support - Juri",2019-09-30,Installation,"gas pressure, regulator, millibar, water column, natural gas"
"Roaster BTU load","What is the BTU load for the roaster burner?","The burner power is 94.203 kW, which equals 321,434.91 BTU/h.",Roaster,Mechanical,low,"Packint Tech Support - Juri",2019-10-03,Specification,"BTU, burner, power, gas"
"Bean sorting screen size","What screen size is needed for bean sorting?","10mm was slightly too large. Use 9mm for the top mesh. For the bottom mesh, 7mm or 7.5mm is recommended - this separates small beans and anything smaller falls through as waste.",Sifter,Mechanical,low,"Packint Tech Support - Alvaro",2019-10-03,Specification,"screen, mesh, sorting, sifter, beans"
"Operating roaster slightly under 20 mbar gas pressure","If gas pressure is just slightly under the minimum 20 mbar, is that OK?","It may work but watch for two issues: 1) If the pilot flame does not cover the safety electrode due to lack of gas, the burner switches off automatically (safety feature). Fix by increasing pilot flame intensity. 2) It may take longer to heat the machine and roast the beans as the burner flame intensity is lower.",Roaster,Mechanical,high,"Packint Tech Support - Juri",2019-10-04,Troubleshooting,"gas pressure, pilot flame, safety electrode, burner"
