Title,Question,Answer,Equipment,Topic,Severity,Source,Date Reported,Repair Type,Tags
"Roaster hydraulic tilt adjustment for bean download","Beans are remaining in the roaster drum for over 5 minutes after tilting. Is it possible to adjust the hydraulic tilt angle? Also happens more in manual mode than auto.","Yes, the pneumatic cylinder screw at the rear can be adjusted to increase inclination, but be careful not to increase the angle too much as it can cause instability. Normal download time is around 2 minutes. The download time setting is the same for automatic or manual mode. Set drum rotation to 2 min forward and 2 min reverse (top left parameters) for better bean movement.",Roaster,Mechanical,medium,"Packint Tech Support - Franklin",2020-01-04,Troubleshooting,"hydraulic, tilt, download, bean stuck, inclination, pneumatic cylinder"
"Ball Mill restart time after overnight shutdown","The ball mill was shut down overnight. How long do we need to wait before it is safe to use again?","Minimum 3 hours, or long enough until all the residual chocolate inside the mill is completely melted.",Ball Mill,Mechanical,low,"Packint Tech Support - Franklin",2020-01-21,Operation,"restart, shutdown, wait time, residual chocolate, melting"
"Processing Allulose sweetener in ball mill","Do you have any experience working with Allulose as a sweetener? Any advice for processing it in the ball mill?","Keep the product temperature under 45°C. Allulose is 70% as sweet as sugar and is often used in combination with other sweeteners like stevia. It has 1/7th the particle size of sugar. Keep additional cocoa butter ready to add, and monitor the amps on the display closely.",Ball Mill,Mechanical,medium,"Packint Tech Support - Lorenzo Datei",2020-02-12,Operation,"allulose, sweetener, temperature, cocoa butter, particle size, amps"
"Roaster temperature spikes between roasts","Roaster set at 185°C but drum temp spiked to 238°C between roasts with no beans loaded. Burners were off (only pilot on) but temp kept climbing.","Three possible causes: 1) Gas pressure is too high (gas company may need to adjust), 2) The T-pipe on the exhaust fan is obstructed with husk, 3) The small exhaust fan is not working. Check the T-pipe for blockage, verify the fan turns on (set fan to 30 seconds ON to test), and verify gas pressure. The machine has no pressure regulator - only a safety valve that operates between specific pressures. When machine is empty, temperature changes are more evident due to less thermal inertia. Increase fan ON time from 8 to 15 seconds in Phase 1 to better control temperature.",Roaster,Mechanical,high,"Packint Tech Support - Lorenzo Datei",2020-02-25,Troubleshooting,"temperature spike, gas pressure, fan, T-pipe, husk blockage, safety valve"
"Roaster 3-phase recipe design for debacterization","How should I design a 3-phase roasting recipe? What is the purpose of each phase?","Phase 1: High temperature for debacterization only (e.g., 185°C, 10 min, speed 50, blower ON 15 sec / OFF 1 min). Phase 2: Fast cooling (e.g., 135°C, 5 min, speed 40, blower ON 240 sec / OFF 1 min). Phase 3: Actual roasting (e.g., 135°C, 20 min, speed 50, blower ON 8 sec / OFF 1 min). The principle is a quick hit of high heat for debacterization, then rapid cooling, then controlled roasting. Temperature and time can be varied for any origin.",Roaster,Software/PLC,medium,"Packint Tech Support - Lorenzo Datei",2020-02-26,Operation,"recipe, 3-phase, debacterization, cooling, roasting, blower settings"
"Conche emulsifier speed range and minimum load","Can the emulsifier speed be adjusted? What is the speed range? What is the minimum load for using the emulsifier?","Speed range: 60 Hz (fastest) to 20 Hz (slowest). Minimum load to use emulsifier: 150 kg. The emulsifier dramatically decreases viscosity - 6 hours of emulsifier use can release up to 4% of cocoa butter stuck on particle surfaces (measured with viscometer).",Conche,Mechanical,medium,"Packint Tech Support - Lorenzo Datei",2020-02-26,Operation,"emulsifier, speed, Hz, minimum load, viscosity, cocoa butter"
"Conche won't start - temperature below 40°C","Changed conche settings and it wouldn't restart. The display showed water temp at 38°C with set point at 40°C.","The conche will not start when water temperature is below 40°C. This can happen if: 1) A cooling phase ended and nobody switched to manual mode, 2) Phase 4 duration expired (even 9999 minutes ends eventually), 3) The machine sat idle without a running program. The product temperature must always be set 2-3°C higher than the water temperature. If water temp is set to 50 and product to 45, the machine will constantly cool because product T is lower than water T.",Conche,Software/PLC,medium,"Packint Tech Support - Lorenzo Datei",2020-02-27,Troubleshooting,"temperature, won't start, 40 degrees, phase settings, water temp, product temp"
"Conche phase temperature rules - water vs product","What should the water temperature and product temperature be set to for each conche phase? The machine got cold unexpectedly.","Water Temperature = HEATING temperature. Product Temperature = COOLING ceiling. Product temp must ALWAYS be 2-3°C higher than water temp. Example for San Martin origin: Phase 1: Water 55, Product 58. Phase 2: Water 50, Product 53. Phase 3: Blower on, all else same. If product temp is set lower than water temp, the machine will constantly try to cool. If the machine gets cold, it's likely because the program phases ended and no one was monitoring.",Conche,Mechanical,medium,"Packint Tech Support - Lorenzo Datei",2020-02-27,Operation,"temperature, water temp, product temp, phase settings, heating, cooling"
"Conche pump making unusual noise","The conche pump is making a strange high-pitched squealing noise that can be heard throughout the factory. The noise changes with pump speed changes.","Possible causes: 1) Bearing in the pump motor, 2) Debris stuck between the flange and the lobes, 3) Impurity in the servo fan. First locate the origin of the sound (front/pump body vs back/motor). The servo fan runs at constant speed regardless of pump speed. If noise changes with speed, it's likely from the pump body, not the servo fan. Pump manufacturer says to keep using it - if it's a bearing issue, they'll replace the motor. Try cleaning with compressed air and flushing with cocoa butter after batch is done.",Conche,Mechanical,medium,"Packint Tech Support - Lorenzo Datei",2020-02-28,Troubleshooting,"pump noise, squeal, bearing, servo fan, flange, lobes"
"Winnower and pre-refiner inverter trips - voltage fluctuation","Winnower fan won't start. Pre-refiner also shut off. What's going on?","Both machines tripping indicates a systemic issue - likely voltage fluctuation. When voltage drops, amps go up (kW = amps × volts), causing breakers to trip from high amps or heat. Measured voltage was only 209V across all 3 phases. Check voltage with a multimeter for each phase combination (1-2, 2-3, 1-3) - one phase might be down entirely. Monitor these events as voltage fluctuations can damage electronic components like PLCs and HMIs. For the winnower: the inverter trips for reasons including low voltage, high load, or impurities inside the fan.",General - All Equipment,Electrical,high,"Packint Tech Support - Lorenzo Datei",2020-03-16,Troubleshooting,"inverter trip, voltage, breaker, amps, phase, winnower, pre-refiner"
"Pre-refiner grease leak from bushing","Grease is leaking from the pre-refiner rollers. Black grease visible on the shaft and underneath the front roller.","The grease loss comes from the bushing and is caused by overheating of the lubricating oil, which becomes more fluid when hot. Clean the rollers and roller shaft thoroughly - remove the blades and clean everything well. Blow with compressed air where the grease residue is visible. Let the machine cool down, then restart and check if it still leaks. No parts need to be removed or moved - just clean the residues.",Pre-refiner,Mechanical,medium,"Packint Tech Support - Giacomo",2020-04-02,Troubleshooting,"grease leak, bushing, overheat, lubricating oil, rollers"
