Title,Question,Answer,Equipment,Topic,Severity,Source,Date Reported,Repair Type,Tags
"SOTU 600 mills high temp alarms after 100 minutes of milling","After about 100 minutes of milling on the SOTU 600 line, we get high temperature alarms. Our cooling company says the chiller is fine. The coolant supply lines read 16.3°C and 20.3°C. What's causing this?","The chiller water temperature is too high. The incoming water at 16°C cannot properly cool the mills - it should be 5-7°C at the chiller outlet. At 16°C, the water cannot absorb enough heat from the product. The water temperature in the mills should be set to 40°C with product at 50°C (5-10°C difference). The temperature probes have a normal variation of about 1°C compared to an immersion thermometer reading. The issue is with the chiller performance, not the mills - have your refrigeration technician verify the chiller output temperature and water flow rate.",Ball Mill,Mechanical,high,"Packint Tech Support - Giacomo",2025-01-14,Troubleshooting,"SOTU 600, high temp alarm, chiller water, 16°C, should be 5-7°C, 100 minutes, cooling, water temperature"
"Melter water temperature probe out of calibration","The melter touch screen shows 54.4°C but a physical thermometer reads 47.7°C when set to 56°C. Later when set to 60°C, the screen shows 57.6°C but thermometer reads 53.8°C.","The temperature probe is likely out of calibration. The heaters are working (temperature is rising), but there's a consistent offset between the probe reading and actual temperature. Try leaving the set point at 60°C and check again after 2 hours to see if the actual temperature continues to rise. If the offset remains consistent (3-4°C difference), the probe may need to be replaced. Packint can monitor remotely to observe the reading behavior.",General - All Equipment,Electrical,medium,"Packint Tech Support - Giacomo",2025-01-15,Troubleshooting,"melter, temperature probe, calibration, offset, 3-4°C difference, replace probe"
"SOTU 600 must be used in full automatic mode","We've been loading ingredients manually and refining manually, then using auto only to unload to the conche. Packint says we should use full auto. Why?","The SOTU 600 line is designed for fully automatic operation from start to finish. Using it partially manual reduces performance and can cause issues. The mixer pump turns on/off based on the mill level sensor in both Auto and Manual modes. Recipes do not affect pump operation - the level sensors control that. Check the mixer tare and do all ingredient loads in automatic mode. The pumps and level sensors manage the flow automatically, adjusting speeds to maintain proper levels.",Ball Mill/Conche,Operation,medium,"Packint Tech Support - Giacomo",2025-01-22,Operation,"SOTU 600, automatic mode, full auto, manual mode, level sensors, pump control, tare, performance"
"Mill-50 water pump replacement - VFD pole jumper fix","Installed the new water pump on the Mill-50 but the VFD keeps tripping. After fixing that, the pump won't start even though the 'pump on' switch lights up.","Two issues: (1) The VFD was tripping because the jumper for the motor poles was reversed. Once the jumper polarity was corrected, the VFD stopped tripping. (2) After that fix, the drive was faulted without displaying an error code. Power cycling (resetting) the drive resolved the issue and the pump started running normally. The motor does free-spool when unpowered, confirming no mechanical lock-up.",Ball Mill,Electrical,medium,"Packint Tech Support - Giacomo, Hunter Peterson",2025-02-05,Repair,"Mill-50, water pump, VFD, tripping, jumper poles reversed, drive fault, no error code, power cycle"
"Conche 2 valve still not opening - minimum 7 bar air pressure required","We upgraded air lines and added an 80-gallon air tank but the conche 2 valve still won't open. The pressure gauge shows 6.5 bar.","The minimum air pressure for the valve to operate is 7 bar - your 6.5 bar is insufficient. Even with the air line upgrades and added tank, you need to verify 7+ bar at the valve. Additionally: (1) Check that the valve physically rotates correctly and isn't still stuck mechanically. (2) Clean the level sensor in the tank thoroughly. (3) The TK1000 has a selector on the panel door to choose which conche sends product - verify it's set correctly. (4) If the sensor is dirty or the valve doesn't rotate perfectly, the conche pump won't operate.",Conche,Mechanical,high,"Packint Tech Support - Giacomo",2025-02-12,Troubleshooting,"Conche 2, valve, 7 bar minimum, air pressure, 6.5 bar insufficient, level sensor, TK1000 selector"
"Conche 2 valve not actuating - loose wire diagnosis","The valve still won't open even with 7 bar pressure. Video shows no air sound when the download button is pressed. What else can we check?","Check for a loose wire: (1) Check if the valve coil has voltage when the button is pressed. (2) Try pressing the blue button directly on the valve to see if it rotates manually. (3) Pull apart the valve assembly and inspect the electrical connector for loose wires. In this case, after shutting down the entire machine and removing voltage, the valve button started working. After turning the machine back on, it worked a few times then stopped again. A new valve was installed and eventually the loose wire was found in the connector or terminal block. The valve connector wiring was the root cause.",Conche,Electrical,high,"Packint Tech Support - Giacomo, Hunter Peterson",2025-02-18,Repair,"Conche 2, valve, loose wire, coil voltage, blue button, connector, terminal block"
"Conche valve opening delay timer is 3 minutes","The conche valve works now but after opening and closing once, it won't open again for a while. Is this normal?","Yes, this is by design. A timer prevents the valve from rapidly opening and closing, which protects against the level sensor continuously triggering open/close cycles when product touches the sensor. The delay is set to 3 minutes. This applies in both manual and automatic modes. After closing the valve, you must wait 3 minutes before it can be opened again.",Conche,Software/PLC,low,"Packint Tech Support - Giacomo",2025-02-21,Specification,"valve delay, 3 minute timer, level sensor protection, open close cycle, anti-cycling"
"SOTU 600 Mill 2 high temp alarms - product 60°C water 50°C","Mill 2 is reading product temp 60°C and water 50°C even though both mills have the same settings of 50°C product and 40°C water. Mill 1 seems fine.","The cooling water entering Mill 2 is not cold enough. Check: (1) Both mills share the same chiller water circuit - verify the water flow is reaching Mill 2 adequately. (2) Press the EXC button on both mills to confirm the exchanger valves rotate correctly. (3) The thermostat behind the mills MUST be set to 60°C - this is a mechanical thermostat that generates an alarm when water reaches 60°C and prevents heater burnout. (4) If one mill had the thermostat set to 50 instead of 60, it would limit heating but also affect the cooling cycle behavior. (5) You can decrease the product temperature set point to 42°C to make the cooling inlet start earlier.",Ball Mill,Mechanical,high,"Packint Tech Support - Giacomo",2025-02-24,Troubleshooting,"Mill 2, high temp, 60°C product, 50°C water, thermostat 60°C, EXC button, exchanger valve"
"SOTU 600 pump speeds dropping to 5-6Hz in auto mode","During auto operation, the pump speeds dropped to 5-6Hz. Packint says this shouldn't happen automatically - minimum in auto is 30Hz. We didn't change them manually.","The minimum pump speed in automatic mode is 30Hz - the software cannot set them lower than this. Speeds of 5-6Hz can only be set manually from the touch screen. Even in auto mode, manual speed changes can be made via the touch screen. Running pumps at such low speed will: (1) damage the pump and motor, (2) leave product in the mills too long causing overheating, and (3) cause over-refining and very high viscosity. If you find speeds below 30Hz, someone changed them manually. Always verify pump speeds are at the correct starting values before each cycle.",Ball Mill/Conche,Software/PLC,high,"Packint Tech Support - Giacomo",2025-02-25,Troubleshooting,"pump speeds, 5-6Hz, minimum 30Hz, auto mode, manual change, over-refining, overheating"
"SOTU 600 level sensor alarm during auto - manual recovery procedure","The SOTU 600 triggered level sensor alarms in both mills during auto cycle. How do we manually get the chocolate out?","Switch to manual mode. Transfer in this order: (1) First empty Mill 2 - turn on Mill 2 pump and stirrer to send product to the conche (or mixer if needed). (2) Once Mill 2 level drops, turn on Mill 1 pump and stirrer to send product from Mill 1 to Mill 2. (3) Once Mill 1 level drops, turn on Mixer pump and stirrer. (4) Remember to open the correct valves from mixer to Mill 1 to Mill 2 to conche. To re-refine: set all recipe ingredients to zero and set a new refining time. Set mixer time to 1 minute. Start auto cycle - it will skip ingredient loading and begin refining the existing product.",Ball Mill/Conche,Operation,high,"Packint Tech Support - Giacomo, Alvaro",2025-02-25,Operation,"SOTU 600, level sensor alarm, manual recovery, transfer order, Mill2 first, zero ingredients, re-refine"
