Title,Question,Answer,Equipment,Topic,Severity,Source,Date Reported,Repair Type,Tags
"Conche emulsifier breaker tripping repeatedly","The emulsifier breaker on the conche keeps tripping. We already increased it from 14A to 15.25A but it still trips. It happens with both 100% cacao and 70% recipes so it's not viscosity related. What else can we try?","The breaker amperage needs to be increased further. On the breaker there is a small wheel - rotate it clockwise to increase the threshold. If the emulsifier continues to trip after adjustment, it may indicate the cacao is under-refined and too thick when entering the conche, which puts extra load on the emulsifier motor.",Conche,Electrical,high,"Packint Tech Support - Giacomo, Alvaro",2023-01-06,Troubleshooting,"emulsifier, breaker, tripping, amperage, 15.25A, viscosity, under-refined"
"Ball mill alarm - breaker not tripped during cooling cycle","Ball mill shows 'breaker' alarm but no visible breaker is tripped. The temperatures are in the low 30s. Is something wrong?","This is normal behavior during a cooling cycle. When the product temperature exceeds the set point, the cooling system activates and the water temperature drops. The temperatures in the low 30s are normal during cooling. The product temperature activates the cooling system, while the water temperature activates the heating - these are independent systems. The alarm may be a false alarm that can be cleared.",Ball Mill,Software/PLC,low,"Packint Tech Support - Giacomo",2023-01-18,Troubleshooting,"alarm, breaker, cooling cycle, temperature, false alarm"
"Ball mill screen unresponsive after transfer","After transferring chocolate out of the ball mill, the touch screen becomes unresponsive and we can't operate the machine. What could cause this?","This could be related to the FM bypass button being engaged or a power interruption similar to pressing the emergency button. Check if FM bypass is activated. Also check if the machine lost power briefly during transfer. Try pressing the blue rearm button to clear any emergency state. If the screen remains unresponsive, power cycle the machine.",Ball Mill,Software/PLC,medium,"Packint Tech Support - Giacomo",2023-02-08,Troubleshooting,"screen, unresponsive, transfer, FM bypass, emergency button, touch screen"
"Ball mill water temp very low - won't restart","The ball mill water temperature is very low and the machine won't restart. How do we get it running again?","When starting the ball mill in auto mode from zero/cold state, you need to use the FM bypass button. The FM bypass allows the stirrer to start even when water temperature hasn't reached the minimum threshold (38°C). The water cools the product, then the heater brings the water temperature back up. Wait for water to reach at least 38°C before starting without FM, or use FM to bypass the temperature safety.",Ball Mill,Mechanical,medium,"Packint Tech Support - Giacomo",2023-02-14,Operation,"water temperature, FM bypass, restart, cold start, auto mode, 38 degrees"
"Conche heating element test - one pulling wrong voltage","We tested the conche heating elements and one is pulling 106V instead of 212V. How many elements are there and what does this mean?","The conche has 2 heaters with 3 heating elements each, totaling 6 elements. Each element is 1500W. If one reads 106V instead of 212V, that element is likely faulty. You need an electrician to do a continuity check on each element. The 4K1 electrical protection inside the cabinet protects the heating elements. Replacement 1500W elements can be ordered from Italy.",Conche,Electrical,high,"Packint Tech Support - Giacomo",2023-02-28,Troubleshooting,"heating element, 1500W, voltage, 106V, 212V, continuity, 4K1, electrician"
"Conche heater connector short circuit and overheating","We found a short circuit and overheating at the conche heater connector. What should we check?","Check all cables, voltage readings, and connections at the heater connector. Look for damaged wire insulation, loose connections, or signs of arcing. The 4K1 protection relay inside the electrical cabinet should trip if there's a short. Have an electrician verify all connections and replace any damaged wiring or connectors.",Conche,Electrical,critical,"Packint Tech Support - Giacomo",2023-03-10,Repair,"short circuit, overheating, heater connector, cables, voltage, 4K1"
"Roaster igniter cable melting","The igniter cable on our T100 roaster keeps melting. Why is this happening?","The previous owner of the T100 added non-standard plastic sheathing around the igniter cable. The original cable from Packint is heat-resistant and designed for roaster temperatures. The aftermarket plastic sheathing melts under normal operating heat. The replacement cable from Italy has proper heat resistance. When replacing, use only the original Packint cable without any additional sheathing.",Roaster,Electrical,high,"Packint Tech Support - Giacomo",2023-03-22,Repair,"igniter, cable, melting, heat resistant, T100, sheathing, previous owner"
"Conche timer display showing 0 minutes in phases","The conche timer display shows 0 minutes remaining in all phases even though it's running. What's wrong?","This is a PLC software issue. Giacomo performed a remote PLC fix to resolve the timer display. After the fix, conche temperatures also improved significantly - reaching above 65°C compared to a maximum of 50°C before the fix. The timer display issue was causing the PLC to not properly manage phase transitions and heating cycles.",Conche,Software/PLC,medium,"Packint Tech Support - Giacomo",2023-04-05,Repair,"timer, display, PLC, software fix, remote, phase, temperature improvement"
"New processing line voltage requirements","What voltage do we need for the new processing line? Should it be 208V or 480V? Do the machines have UL certification?","The new line should be 480V 3-phase + Neutral + Ground at 60Hz. Each conche requires approximately 85A, and the main board needs 155A capacity. Regarding UL certification: individual components are UL labeled, but full board certification costs approximately 25,000€ and is not economically viable for custom-built machines. The machines meet all safety requirements but the electrical board assembly as a whole is not UL certified.",General - All Equipment,Electrical,medium,"Packint Tech Support - Giacomo, Lorenzo Datei",2023-04-18,Installation,"voltage, 480V, 208V, UL certification, 155A, 85A, 60Hz, three phase"
"Conche download valve opens then immediately closes","The conche download valve opens momentarily then immediately closes. The chocolate won't discharge. What's causing this?","A level detector from the old sifter is sending a maximum-level signal that's blocking the valve from staying open. Juri excluded that sensor input in the PLC remotely, which fixed the issue. The old sifter's level sensor was still connected and telling the system the destination was full, causing the valve to close immediately after opening.",Conche,Software/PLC,high,"Packint Tech Support - Juri, Giacomo",2023-05-03,Repair,"download valve, level detector, sifter, PLC, signal blocking, Juri"
